U10;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
865001;Head of State;Heber J. Grant;1920;1945;PA;Ruthless Powermonger;Very High;U10 - Heber J Grant;X
865002;Head of State;George Albert Smith;1930;1951;PA;Benevolent Gentleman;High;U10 - George Albert Smith;X
865003;Head of State;George Romney;1948;1993;SC;Benevolent Gentleman;High;U10 - George Romney;X
865004;Head of Government;George Albert Smith;1920;1951;PA;Political Protege;High;U10 - George Albert Smith;X
865005;Head of Government;George Romney;1942;1993;SC;Corporate Suit;High;U10 - George Romney;X
865006;Head of Government;Lemuel A. Garrison;1933;1964;PA;Flamboyant Tough Guy;High;U10 - Lemuel A Garrison;X
865007;Head of Government;Herbert Brown Maw;1933;1964;ML;Silent Workhorse;High;U10 - Herbert Brown Maw;X
865008;Foreign Minister;Wallace F. Bennett;1933;1964;ML;Ideological Crusader;Medium;U10 - Wallace F Bennett;X
865009;Foreign Minister;George Albert Smith;1933;1964;PA;Great Compromiser;High;U10 - George Albert Smith;X
865010;Foreign Minister;Moroni Olsen;1933;1964;SC;Great Compromiser;Medium;U10 - Moroni Olsen;X
865011;Minister of Armament;Val Browning;1933;1964;SC;Administrative Genius;High;unknownminister;X
865012;Minister of Armament;Marriner S. Eccles;1933;1964;SC;Laissez-Faire Capitalist;Medium;unknownminister;X
865013;Minister of Security;Reuben Clark Jr;1933;1964;SC;Crime Fighter;Very High;U10 - Reuben Clark Jr;X
865014;Minister of Security;Floyd Gottfredson;1940;1964;SC;Media Magnate;Medium;U10 - Floyd Gottfredson;X
865015;Minister of Security;Samuel Cowley;1933;1964;SC;Crime Fighter;High;U10 - Samuel Cowley;X
865016;Chief of Staff;Wallace F. Bennett;1933;1964;ML;School of Psychology;High;U10 - Wallace F Bennett;X
865017;Chief of Staff;Briant H. Wells;1933;1938;SC;School of Defence;High;U10 - Briant Harris Wells;X
865018;Chief of Staff;Ray DuChene Free;1943;1964;SC;School of Mass Combat;High;unknownleader;X
865019;Chief of Army;Briant H. Wells;1933;1938;SC;Guns and Butter Doctrine;Very High;U10 - Briant Harris Wells;X
865020;Chief of Navy;Under Army Command;1933;1964;SC;Base Control Doctrine;Low;unknownminister;X
865021;Chief of Air Force;Russell Maugan;1933;1964;SC;Air Superiority Doctrine;High;U10 - Russell Maughan;X
